Leader,Civ,Leader Tags,Leader Bonus,Leader Agenda
Alexander,Macedonian,War,To World's End:Cities do not incur war weariness. All military units heal completely when this player captures a city with a world wonder.,Short Life of Glory:Likes civilizations at war with powers other than Macedon. Has disdain for civilizations at peace.
Amanitore,Nubian,,Kandake of Meroë:+20% Production towards all district rising to +40% if there is a Nubian Pyramid adjacent to the City Center.,City Planner:Tries to keep the maximum number of districts in each city and likes civilizations who match that approach. Dislikes civilizations that don't build as many districts as possible in their cities.
Catherine de Medici,French,Culture,Catherine's Flying Squadron:Has 1 level of Diplomatic Visibility greater than normal with every civilization that she's met. Receives a free Spy(and extra spy capacity) with the Castles technology. All spies start as Agents with a free promotion.,"Black Queen:Gains as many Spies and as much diplomatic access as possible, and likes those who do the same. Dislikes civilizations that ignore espionage activities and have little diplomatic access."
Chandragupta,Indian,War; Religion,Arthashastra:Can declare a War of Territorial Expansion after gaining the Military Training Civic. +2 Movement and +5 Combat Strength for the first 10 turns after declaring a War of Territorial Expansion.,Maurya Empire:Dislikes civilizations that have cities close to his borders and will try to conquer them. Likes civilizations that are not his neighbors.
Cleopatra,Egyptian,Economy; Religion,Mediterranean's Bride:Your Trade Routes to other civilizations provide +4 Gold for Egypt. Other civilizations' Trade Routes to Egypt provide +2 Food for them and +2 Gold for Egypt. Trading with Allies earns twice as many bonus Alliance Points.,"Queen of the Nile:Likes civilizations with powerful militaries, and will try to ally with them to avoid conflict. Dislikes civilizations with weak militaries."
Cyrus,Persian,War; Culture,Fall Of Babylon:+2 Movement for the first 10 turns after declaring a Surprise War on a major civilzation. +5 Loyalty per turn in occupied cities with a garrisoned unit. Declaring a Surprise War only counts as a Formal War for the purposes of Grievances and warmongering.,"Opportunist:Will often declare Suprise Wars, and likes civilizations that do the same. Dislikes civilizations who do not use Suprise War declarations."
Dido,Phoenician,Economy,Founder Of Carthage:Can move their original Capital to any city with a Cothon they founded by completing a unique project in that city. +1 Trade Route capacity for each Government Plaza building and the Government Plaza district. +50% Production towards districts in the city with the Government Plaza.,"Sicilian Wars:Wants ot settle coastal cities, and likes civilizations that settle inland. Dislikes civilizations with many coastal cities"
Eleanor of Aquitaine,English,Economy,Court of Love:Great Works in Eleanor's cities each cause -1 Loyalty per turn in foreign cities within 9 tiles. A city that leaves another civilization due to a loss of Loyalty and is currently receiving the most Loyalty per turn from Eleanor's civilization skips the Free City step to join this civilization.,"Angevin Empire:Builds up the Population of her cities, and likes likes those whose nearby cities also have a high Population. Dislikes civilizations whose nearby cities have low Population."
Eleanor of Aquitaine,French,Economy,Court of Love:Great Works in Eleanor's cities each cause -1 Loyalty per turn in foreign cities within 9 tiles. A city that leaves another civilization due to a loss of Loyalty and is currently receiving the most Loyalty per turn from Eleanor's civilization skips the Free City step to join this civilization.,"Angevin Empire:Builds up the Population of her cities, and likes likes those whose nearby cities also have a high Population. Dislikes civilizations whose nearby cities have low Population."
Frederick Barbarossa,German,War,Holy Roman Emperor:Additional Military policy slot. +7 Combat Strength when attacking city-states.,"Iron Crown:Will try to conquer city-states, and likes civilizations who do not associate with them. Dislikes Suzerains of city-states, or civilizations who have conquered city-states."
Gandhi,Indian,Religion,Satyagraha:+5 Faith for each civilzation(including India) they have met that has founded a Religion and is not currently at war. Opposing civilizations receive double the war weariness fighting against Gandhi.,"Peacekeeper:Never declares wars for which he can be branded a warmonger, and will try to befriend those who maintain the peace. Hates warmongers."
Genghi Khan,Mongolian,War,Mongol Horde:All cavalry class units gain +3 Combat Strength and a chance to capture defeated enemy cavalry class units.,"Horse Lord:Builds a strong cavalry force, and likes those who do not compete in cavalry. Dislikes civilizations who rival him in cavalry strength."
Gilgamesh,Sumerian,Science,"Adventures of Enkidu:When at war with a common foe, they and their allies share pillage rewards and share combat experience gains if within 5 tiles. Their Alliances gain Alliance Points for being at war with a common foe.","Ally of Enkidu:Is easy to befriend, and likes civilizations who are his Declared Friends. Dislikes anyone denouncing or attacking his friends."
Gitarja,Indonesian,,Exalted Goddes Of The Three Worlds:May purchase naval units with Faith. Religious units pay no movement cost to embark or disembark. City Centers adjacent to Coast or Lake tiles gain +2 Faith.,Archipelagic State:Likes civilizations who avoid settling or conquering cities on small landmasses. Hates anyone with numerous cities on such islands.
Gorgo,Greek,Culture,Thermopylae:Combat victories provide Culture equal to 50% of the Combat Strength of the defeated unit.,"With Your Shield Or On It:Never gives up items in a peace deal, and likes civilizations who match that approach. Dislikes civilizations who have capitulated or who have never gone to war."
Harald Hardrada,Norwegian,War,"Thunderbolt Of The North:Allows coastal raiding for all naval melee units and +50% Production toward all naval melee units. Receive Science from pillaging and coastal raiding Mines in addition to Gold. Pillaging or coastal raiding Quarries, Pastures, Plantations, and Camps provides Culture in addition to Faith. Gian the Viking Longship unique unit with Sailing.","Last Viking King:Builds a strong navy, and likes civilizations who do the same. Dislikes civilizations with a weak navy."
Hojo Tokimune,Japanese,Culture,"Divine Wind:Land units receive +5 Combat Strength in land tiles adjacent to Coast; naval units receive +5 Combat Strength in shallow water tiles. Builds Encampment, Holy Site, and Theater Square districe in half the time. Units do not receive damage from Hurricanes. Civilizations that are at war with Japan receive +100% unit damage from Hurricanes in Japanese territory.",Bushido:Likes civilizations that have a strong military and Faith and Culture output. Dislikes civilizations that are strong in military but weak in Faith or Culture.
Jadwiga,Polish,,"Lithuanian Union:Taking territory from a foreign city with a Culture Bomb converts it to Poland's religion. Relics provide +4 Gold, +2 Culture and +2 Faith. Holy Sites receive a +1 adjacency bonus from districts, instead of +0.5.","Saint:Focuses on building up Faith, and likes civilizations who do the same. Dislikes civilizations with a weak Faith output."
Jayavarman VII,Khmer,Religion,"Monastaries Of The King:Holy Sites provide +2 Food and +1 Housing if adjacent to a river. Building a Holy Site triggers a Culture Bomb, claiming surrounding tiles.",An End to Suffering:Likes civilizations with many Holy Sites and with high average city Population. Dislikes civilizations lacking in either of these areas.
John Curtin,Australian,,Citadel Of Civilization:+100% Production if they have either received a declaration of war or liberated a city in the past 10 turns.,Perpetually on Guard:Forms Defensive Pacts with friends and likes civilizations that liberate cities. Dislikes civilizations that are occupying enemy cities.
Kristina,Swedish,Culture,Minerva Of The North:Buildings with at least three Great Work slots are automatically themed when they have all their slots filled. She may construct the Queen's Bibliotheque in the Government Plaza.,Bibliophile:Tries to collect as many Great Works as possible and likes those who leave them to her. Dislikes civilizations with many Great Works.
Kupe,Māori,Culture; Religion,Kupe's Voyage:Begin the game in an Ocean tile. Gain a free Builder unit and +1 Population when settling your first city. The Palace receives +3 Housing and +1 Amenity. +2 Science and +2 Culture per turn before you settle your first city.,"Kaitiakitanga:Tries to avoid contributing to climate change by not removing features, planting Woods, and founding National Parks, and likes those who do the same. Dislikes civilizations that show little concern for the environment."
Lautaro,Mapuche,War,"Swift Hawk:If a Mapuche Unit defeats an enemy unit within the borders of the enemy city, that city loses 20 Loyalty. Pillaging a plot in an enemy city causes it to lose 5 Loyalty.","Spirit of Tucapel:Tries to maintain a high degree of loyalty in his cities, and respects civilizations who do the same. Dislikes civilizations that fail to maintain the loyalty of their cities."
Mansa Musa,Mali,Economy; Religion,Sahel Merchants:International Trade Routes gian +1 Gold for every flat Desert tile in the origin city. Receive +1 Trade Capacity every time you enter a Golden Age.,"Lord of the Mines:Tries to build up Gold, and likes those that also focus on Gold. Dislikes civilizations with weak Gold output."
Matthias Corvinus,Hungarian,War,Raven King:Levied units gain an ability giving them +2 Movement and +5 Combat Strength. It costs 75% less Gold and resources to upgrade Levied units. If you Levy troops from a City-State receive 2 Envoys with that City-State. Gain the Black Army unique unit when the Castles tehcnology is researched.,"Raven Banner:Levies troops from city-states. Likes civilizations that also use city-state troops, dislikes those that shun such mercenaries."
Montezuma,Aztec,War,Gifts for the Tlatoani:Luxury resources in his territory provide an extra Amenity to 2 extra cities. Military units receive +1 Combat Strength when attacking for each different Luxury resource Improved in Aztec lands.,"Tlatoani:Likes civilizations who have the same Luxury resources as he does, and will try to collect every Luxury resource available. Dislikes civilizations who have a new Luxury resource he has not yet collected."
Mvemba a Nzinga,Kongolese,Economy; Culture,"Religious Convert:May not build Holy Site districts, gain Great Prophets, or found Religions. Gains all Beliefs of any Religion that has established itself in a majority of his cities. Receives an Apostle each time he finishes a M'banza or Theater Square district (of that city's majority religion.",Enthusiastic Disciple:Likes civilizations that bring Religion to the Kongo. Dislikes civilizations that have founded a Religion but not brought it to a Kongolese city.
Pachacuti,Incan,Economy,Qhapaq Ñan:Domestic Trade Routes gain +1 Food for every Mountain tile in the origin city. Gain the Qhapaq Ñan unique improvement with Foreign Trade.,"Sapa Inca:Tries to settle near Mountains, and likes those who leave those areas to him. Dislikes civilizations that also settle near Mountains."
Pedro II,Brazilian,Culture,"Magnanimous:After recruiting or patronizing a Great Person, 20% of its Great Person point cost is refunded.","Patron of the Arts:Likes civilizations who are not competing for Great People, and will recruit Great People whenever possible. Dislikes civilizations with more Great People than him."
Pericles,Greek,Culture,Surrounded By Glory:+5% Culture per city-state you are Suzerain of.,Delian League:Likes civilizations that aren't competing for the same city-state allegiance. Dislikes civilizations that are directly competing for city-state allegiance.
Peter,Russian,Faith,The Grand Embassy:Receives Science or Culture from Trade Routes to civilzations that are more advanced than Russia(+1 per 3 technologies or civics ahead).,Westernizer:Likes civilizations that are ahead of him in Science and Culture. Dislikes civilizations that are lagging in Science and Culture.
Philip II,Spanish,Faith,El Escorial:Inquisitors can Remove Heresy one extra time. Inquisitors eliminate 100% of the presence of other Religions. Combat units have a bonus of +4 Combat Strength against player following other Religions.,"Counter Reformer:Likes civilizations who follow the same Religion, and wants his cities to all follow the same Religion. Hates anyone trying to spread their Religion into his empire."
Poundmaker,Cree,Economy,Favorable Terms:All Alliance types provide Shared Visibility. Your outgoing Trade Routes grant +1 Food to Poundmaker per Camp or Pasture at the destination. Trade Routes sent to your cities grant +1 Gold to Poundmaker per Camp or Pasture at the destination.,"Iron Confederacy:Tries to establish as many Alliances as possible, and likes civilizations that do the same. Dislikes civilizations that don't establish Alliances."
Qin Shi Huang,Chinese,Culture,The First Emperor:When building Ancient or Classical wonders you may spend Builder charges to complete 15% of the original wonder cost. Builders receive an additional charge. Canals are unlocked with the Masonry technology.,"Wall of 10,000 Li:Builds wonders whenever possible, and likes civilizations not competing for wonders. Dislikes civilizations with more wonders than him."
Robert the Bruce,Scottish,Culture; Economy; Science,Bannockburn:Can declare a War of Liberation after gaining the Defensive Tactics Civic. +100% Production and +2 Movement for the first 10 turns after declaring a War of Liberation.,"Flower of Scotland:Will never attack his neighboring civilizations unless they break a promise to him, and dislikes anyone waging war on them. Likes civilizations not at war with his neighbors."
Saladin,Arabian,Religion; Science,"Righteousness Of The Faith:The worship building for your Religion can be purchased by any player for just one-tenth of the usual Faith cost. This worship building is enhanced to add 10% to the Science, Faith, and Culture output of Arabian cities.","Ayyubid Dynasty:Wants his Worship building in as many cities as possible, and likes civilizations with it. Dislikes civilizations following other Religions or waging war on followers of his Religion."
Seondeok,Korean,Science,"Hwarang:Governers established in a city provide +3% Culture and Science for each Promotion they have earned, including their first.","Cheomseongdae:Focuses on building up Science, and respects civilizations who do the same. Dislikes civilizations with a weak Science output."
Shaka,Zulu,War,Amabutho:May from Corps(Mercenaries Civic) and Armies(Nationalism Civic) earlier. An additional +5 Base Combat Strength to both Corps and Armies.,"Horn, Chest, Loins:Tries to form as many Corps and Armies as possible, and likes those who follow his lead. Dislikes civilizations with few Corps and Armies."
Suleiman,Ottoman,War,Grand Vizier:Exclusive unique Governor with military and diplomatic abilities. Gain the Janissary unique unit when the Gunpowder technology is researched.,"Lawgiver:Tries to keep his cities happy and loyal, and likes those who do the same, especially if the have taken cities from other civilizations. Dislikes those who struggle with happiness and loyalty, or that own few conquered cities."
Tamar,Georgian,Religion,"Glory Of The World, Kingdom And Faith:+100% Faith for 10 turns after declaring a Protectorate War. Each Envoy you send to a city-state of your majority Religion counts as two Envoys. (Must have a majority Religion).",Narikala Fortress:Tries to put high level Walls around her cities and respects civilizations that do the same. Dislikes civilizations that fail to fortify their cities.
Teddy Roosevelt,American,Culture; War,Roosevelt Corollary:Units receive +5 Combat Strength on their home continent. +1 Appeal to all tiles in a city with a National Park. Gain the Rough Rider unique unit when they research the Rifling technology.,Big Stick Policy:Likes peaceful Civilizations that have a city on his home continent. hates civilizations starting wars on his continent.
Tomyris,Scythian,War; Faith,"Killer of Cyrus:All units receive +5 Combat Strength when attacking wounded units. When they eliminate a unit, they heal up to 30 hit points.",Backstab Averse:Likes civilizations who are willing to establish a long-term Alliance with her. Hates civilizations who backstab and declare Suprise Wars.
Trajan,Roman,Economy; War,Trajan's Column:All cities start with an additional City Center building. (Starts with a Monument building in the Ancient era).,"Optimus Princeps:Tries to include as much territory as possible in his empire, and respects those who do the same. Dislikes civilizations that control little territory."
Victoria,English,Economy,Pax Britannica:Each time you found your first city on a continent other than your home continent receive a free melee unit and a Trade Route capacity. Constructing any Royal Navy Dockyard grants you a copy of the strongest naval unit you can build. Gain the Redcoat unique unit when the Military Science technology is researched.,"Sun Never Sets:Likes civilizations on her continent, and will try to expand to all continents. Dislikes civilizations on continents where she has no city."
Wilfrid Laurier,Canadian,Culture,"The Last Best West:Allows Farms to be build on Tundra terrain. After Civil Engineering is unlocked Farms can be built on Tundra Hills. In Snow, Tundra, Snow Hills, and Tundra Hills, all Mines provide +1 Production, Lumber Mills provide +1 Production, Camps provide +1 Food, and strategic resource accumulation rate is +100%. Reduces the purchase cost of tiles in these terrain types by 50%.","Canadian Expeditionary Force:Responds to Emergencies whenever possible, and likes civilizations who do the same. Dislikes those that ignore Emergencies."
Wilhelmina,Dutch,Culture; Economy,Radio Oranje:Your Trade Routes to your own cities provide +1 Loyalty per turn for the starting city. Trade Routes to foreign cities or from foreign cities provide +1 Culture to you.,Billionare:Likes civilizations that send Trade Routes to her cities. Dislikes civilizations who refrain from sending her Trade Routes.